Supplier_ID,Order_Date,Delivery_Date,Lead_Time,Order_Quantity,Received_Quantity,Order_Status,Payment_Status,Order_Completion_Date,Ingredient_Name
102,1/12/2023,1/22/2023,10,26,26,Delivered,Paid,1/22/2023,Proteins
110,5/22/2023,5/30/2023,8,3,3,Delivered,Paid,5/30/2023,Proteins
106,4/6/2023,4/24/2023,18,42,42,Delivered,Paid,4/24/2023,Dairy
110,1/13/2023,1/21/2023,8,93,93,Delivered,Paid,1/21/2023,Palm Oil
109,8/12/2023,8/21/2023,9,3,3,Delivered,Paid,8/21/2023,Proteins
107,11/9/2023,11/21/2023,12,99,99,Delivered,Paid,11/21/2023,Dairy
106,4/3/2023,4/23/2023,20,60,60,Delivered,Paid,4/23/2023,Palm Oil
107,6/9/2023,6/14/2023,5,90,90,Delivered,Paid,6/14/2023,Palm Oil
104,9/12/2023,9/26/2023,14,52,52,Delivered,Paid,9/26/2023,Palm Oil
108,6/10/2023,6/13/2023,3,26,0,Cancelled,Cancelled,Cancelled ,Fruits
104,9/18/2023,10/11/2023,23,5,5,Delivered,Paid,10/11/2023,Fruits
101,5/4/2023,5/30/2023,26,13,13,Delivered,Paid,5/30/2023,Proteins
101,10/3/2023,10/26/2023,23,18,18,Delivered,Paid,10/26/2023,Dairy
106,11/29/2023,12/14/2023,15,67,67,Delivered,Paid,12/14/2023,Proteins
104,7/21/2023,7/23/2023,2,32,32,Delivered,Paid,7/23/2023,Dairy
107,7/4/2023,7/22/2023,18,96,96,Delivered,Paid,7/22/2023,Palm Oil
106,7/10/2023,8/3/2023,24,96,96,Delivered,Paid,8/3/2023,Proteins
103,10/9/2023,10/22/2023,13,60,60,Delivered,Paid,10/22/2023,Proteins
106,3/23/2023,4/18/2023,26,95,95,Delivered,Paid,4/18/2023,Dairy
107,2/16/2023,2/26/2023,10,47,47,Delivered,Paid,2/26/2023,Palm Oil
105,11/27/2023,12/4/2023,7,74,74,Delivered,Paid,12/4/2023,Proteins
101,1/9/2023,1/22/2023,13,35,35,Delivered,Paid,1/22/2023,Proteins
108,11/25/2023,12/12/2023,17,69,69,Delivered,Paid,12/12/2023,Proteins
107,6/14/2023,7/12/2023,28,46,46,Delivered,Paid,7/12/2023,Tomatoes
105,8/24/2023,9/11/2023,18,51,51,Delivered,Paid,9/11/2023,Palm Oil
101,5/16/2023,6/1/2023,16,34,34,Delivered,Paid,6/1/2023,Dairy
105,3/13/2023,3/29/2023,16,90,90,Delivered,Paid,3/29/2023,Tomatoes
107,1/19/2023,2/15/2023,27,21,21,Delivered,Paid,2/15/2023,Fruits
109,7/4/2023,7/8/2023,4,77,77,Delivered,Paid,7/8/2023,Palm Oil
106,6/23/2023,6/26/2023,3,37,37,Delivered,Paid,6/26/2023,Palm Oil
110,3/1/2023,3/9/2023,8,94,94,Delivered,Paid,3/9/2023,Proteins
103,2/21/2023,3/7/2023,14,57,57,Delivered,Paid,3/7/2023,Proteins
110,2/20/2023,3/14/2023,22,8,8,Delivered,Paid,3/14/2023,Dairy
101,2/18/2023,2/21/2023,3,16,16,Delivered,Paid,2/21/2023,Fruits
101,10/6/2023,11/5/2023,30,49,49,Delivered,Paid,11/5/2023,Dairy
103,1/2/2023,1/29/2023,27,99,0,Cancelled,Cancelled,Cancelled ,Tomatoes
105,1/26/2023,2/16/2023,21,37,37,Delivered,Paid,2/16/2023,Palm Oil
101,9/25/2023,10/13/2023,18,79,79,Delivered,Paid,10/13/2023,Tomatoes
105,6/8/2023,6/17/2023,9,63,63,Delivered,Paid,6/17/2023,Vegetables
105,1/13/2023,1/23/2023,10,39,39,Delivered,Paid,1/23/2023,Tomatoes
108,9/11/2023,10/7/2023,26,8,8,Delivered,Paid,10/7/2023,Proteins
106,2/5/2023,2/7/2023,2,66,66,Delivered,Paid,2/7/2023,Proteins
108,1/20/2023,2/13/2023,24,65,65,Delivered,Paid,2/13/2023,Vegetables
107,4/27/2023,4/30/2023,3,52,52,Delivered,Paid,4/30/2023,Proteins
102,6/21/2023,6/22/2023,1,57,57,Delivered,Paid,6/22/2023,Vegetables
102,2/5/2023,2/9/2023,4,98,98,Delivered,Paid,2/9/2023,Proteins
105,6/29/2023,7/1/2023,2,90,90,Delivered,Paid,7/1/2023,Proteins
101,7/29/2023,8/4/2023,6,24,24,Delivered,Paid,8/4/2023,Proteins
106,10/21/2023,10/23/2023,2,88,88,Delivered,Paid,10/23/2023,Dairy
110,10/11/2023,11/8/2023,28,93,93,Delivered,Paid,11/8/2023,Proteins
107,7/22/2023,7/30/2023,8,34,34,Delivered,Paid,7/30/2023,Palm Oil
103,2/3/2023,2/16/2023,13,90,90,Delivered,Paid,2/16/2023,Dairy
104,2/6/2023,3/2/2023,24,61,61,Delivered,Paid,3/2/2023,Fruits
101,11/19/2023,12/12/2023,23,55,55,Delivered,Paid,12/12/2023,Palm Oil
103,1/19/2023,2/9/2023,21,82,82,Delivered,Paid,2/9/2023,Fruits
107,5/27/2023,6/22/2023,26,20,20,Delivered,Paid,6/22/2023,Proteins
110,3/15/2023,4/8/2023,24,70,70,Delivered,Paid,4/8/2023,Dairy
108,12/25/2023,1/16/2024,22,72,72,Delivered,Paid,1/16/2024,Dairy
106,9/12/2023,10/4/2023,22,57,57,Delivered,Paid,10/4/2023,Tomatoes
105,2/26/2023,3/25/2023,27,91,91,Delivered,Paid,3/25/2023,Dairy
101,6/17/2023,7/11/2023,24,32,32,Delivered,Paid,7/11/2023,Dairy
104,11/25/2023,12/1/2023,6,6,6,Delivered,Paid,12/1/2023,Palm Oil
102,9/9/2023,9/12/2023,3,99,99,Delivered,Paid,9/12/2023,Tomatoes
105,3/30/2023,4/25/2023,26,14,14,Delivered,Paid,4/25/2023,Fruits
101,6/21/2023,6/24/2023,3,69,69,Delivered,Paid,6/24/2023,Palm Oil
104,9/15/2023,9/29/2023,14,52,52,Delivered,Paid,9/29/2023,Palm Oil
101,2/14/2023,2/25/2023,11,30,0,Cancelled,Cancelled,Cancelled ,Tomatoes
107,8/7/2023,8/26/2023,19,55,55,Delivered,Paid,8/26/2023,Palm Oil
110,6/12/2023,6/18/2023,6,71,71,Delivered,Paid,6/18/2023,Dairy
108,6/25/2023,7/10/2023,15,16,0,Cancelled,Cancelled,Cancelled ,Palm Oil
103,3/10/2023,3/14/2023,4,89,89,Delivered,Paid,3/14/2023,Dairy
103,7/22/2023,8/19/2023,28,39,0,Cancelled,Cancelled,Cancelled ,Fruits
101,8/31/2023,9/5/2023,5,79,79,Delivered,Paid,9/5/2023,Proteins
110,5/29/2023,6/17/2023,19,98,98,Delivered,Paid,6/17/2023,Palm Oil
110,4/8/2023,4/14/2023,6,78,0,Cancelled,Cancelled,Cancelled ,Proteins
102,7/25/2023,8/17/2023,23,28,28,Delivered,Paid,8/17/2023,Proteins
106,11/25/2023,11/29/2023,4,59,59,Delivered,Paid,11/29/2023,Palm Oil
102,10/9/2023,10/13/2023,4,76,0,Cancelled,Cancelled,Cancelled ,Proteins
107,4/13/2023,5/13/2023,30,60,60,Delivered,Paid,5/13/2023,Vegetables
102,1/19/2023,2/11/2023,23,69,69,Delivered,Paid,2/11/2023,Proteins
108,7/9/2023,8/7/2023,29,52,52,Delivered,Paid,8/7/2023,Fruits
102,11/7/2023,11/9/2023,2,3,3,Delivered,Paid,11/9/2023,Dairy
104,9/9/2023,9/16/2023,7,53,53,Delivered,Paid,9/16/2023,Dairy
101,4/26/2023,5/11/2023,15,76,76,Delivered,Paid,5/11/2023,Proteins
109,5/31/2023,6/15/2023,15,20,20,Delivered,Paid,6/15/2023,Fruits
110,11/14/2023,11/28/2023,14,66,66,Delivered,Paid,11/28/2023,Dairy
109,4/12/2023,5/10/2023,28,71,0,Cancelled,Cancelled,Cancelled ,Palm Oil
104,10/20/2023,11/17/2023,28,100,100,Delivered,Paid,11/17/2023,Palm Oil
108,3/28/2023,4/22/2023,25,85,85,Delivered,Paid,4/22/2023,Fruits
105,5/15/2023,6/7/2023,23,41,41,Delivered,Paid,6/7/2023,Vegetables
105,8/8/2023,9/4/2023,27,1,1,Delivered,Paid,9/4/2023,Tomatoes
106,12/25/2023,12/27/2023,2,35,35,Delivered,Paid,12/27/2023,Palm Oil
101,2/19/2023,2/27/2023,8,14,14,Delivered,Paid,2/27/2023,Palm Oil
102,3/11/2023,3/28/2023,17,87,87,Delivered,Paid,3/28/2023,Fruits
109,10/1/2023,10/22/2023,21,73,73,Delivered,Paid,10/22/2023,Vegetables
105,12/7/2023,12/9/2023,2,15,15,Delivered,Paid,12/9/2023,Proteins
106,1/29/2023,2/5/2023,7,76,76,Delivered,Paid,2/5/2023,Tomatoes
104,3/15/2023,3/18/2023,3,47,47,Delivered,Paid,3/18/2023,Proteins
103,2/26/2023,3/15/2023,17,8,8,Delivered,Paid,3/15/2023,Tomatoes
110,2/6/2023,2/17/2023,11,54,54,Delivered,Paid,2/17/2023,Tomatoes
105,2/24/2023,3/26/2023,30,26,26,Delivered,Paid,3/26/2023,Dairy
109,6/7/2023,7/1/2023,24,66,66,Delivered,Paid,7/1/2023,Palm Oil
105,3/21/2023,4/9/2023,19,4,4,Delivered,Paid,4/9/2023,Proteins
102,5/25/2023,6/23/2023,29,6,6,Delivered,Paid,6/23/2023,Fruits
103,4/26/2023,5/14/2023,18,90,90,Delivered,Paid,5/14/2023,Proteins
110,9/24/2023,10/18/2023,24,76,76,Delivered,Paid,10/18/2023,Proteins
103,8/27/2023,9/17/2023,21,2,2,Delivered,Paid,9/17/2023,Dairy
107,7/20/2023,7/26/2023,6,82,82,Delivered,Paid,7/26/2023,Fruits
107,11/1/2023,11/19/2023,18,15,15,Delivered,Paid,11/19/2023,Dairy
110,11/10/2023,12/6/2023,26,47,47,Delivered,Paid,12/6/2023,Tomatoes
101,1/19/2023,2/1/2023,13,35,35,Delivered,Paid,2/1/2023,Tomatoes
108,4/23/2023,4/26/2023,3,89,89,Delivered,Paid,4/26/2023,Proteins
102,9/21/2023,10/20/2023,29,40,40,Delivered,Paid,10/20/2023,Palm Oil
102,3/4/2023,3/21/2023,17,9,9,Delivered,Paid,3/21/2023,Tomatoes
104,1/1/2023,1/18/2023,17,14,14,Delivered,Paid,1/18/2023,Vegetables
101,10/17/2023,11/14/2023,28,3,3,Delivered,Paid,11/14/2023,Proteins
110,7/27/2023,8/16/2023,20,2,2,Delivered,Paid,8/16/2023,Palm Oil
103,3/20/2023,4/15/2023,26,29,29,Delivered,Paid,4/15/2023,Palm Oil
107,7/2/2023,7/22/2023,20,88,88,Delivered,Paid,7/22/2023,Proteins
107,7/9/2023,8/8/2023,30,83,83,Delivered,Paid,8/8/2023,Dairy
101,8/28/2023,9/8/2023,11,2,2,Delivered,Paid,9/8/2023,Vegetables
106,7/11/2023,7/16/2023,5,25,0,Cancelled,Cancelled,Cancelled ,Proteins
109,5/13/2023,5/22/2023,9,67,67,Delivered,Paid,5/22/2023,Fruits
110,2/27/2023,3/28/2023,29,69,69,Delivered,Paid,3/28/2023,Proteins
106,5/14/2023,5/26/2023,12,40,40,Delivered,Paid,5/26/2023,Proteins
102,12/3/2023,12/28/2023,25,81,81,Delivered,Paid,12/28/2023,Palm Oil
103,1/7/2023,1/17/2023,10,85,85,Delivered,Paid,1/17/2023,Vegetables
108,12/14/2023,12/31/2023,17,88,88,Delivered,Paid,12/31/2023,Vegetables
103,9/25/2023,10/22/2023,27,65,65,Delivered,Paid,10/22/2023,Fruits
109,1/1/2023,1/9/2023,8,91,91,Delivered,Paid,1/9/2023,Palm Oil
110,1/22/2023,2/10/2023,19,79,79,Delivered,Paid,2/10/2023,Proteins
105,9/15/2023,9/16/2023,1,73,73,Delivered,Paid,9/16/2023,Dairy
109,4/17/2023,4/22/2023,5,14,14,Delivered,Paid,4/22/2023,Proteins
104,6/1/2023,6/24/2023,23,35,35,Delivered,Paid,6/24/2023,Palm Oil
108,5/10/2023,5/21/2023,11,31,31,Delivered,Paid,5/21/2023,Palm Oil
103,2/26/2023,3/15/2023,17,14,14,Delivered,Paid,3/15/2023,Palm Oil
106,7/20/2023,8/18/2023,29,77,77,Delivered,Paid,8/18/2023,Vegetables
103,9/10/2023,10/4/2023,24,22,22,Delivered,Paid,10/4/2023,Fruits
103,2/9/2023,2/12/2023,3,2,2,Delivered,Paid,2/12/2023,Dairy
101,6/14/2023,6/26/2023,12,70,70,Delivered,Paid,6/26/2023,Vegetables
107,12/9/2023,1/1/2024,23,65,0,Cancelled,Cancelled,Cancelled ,Proteins
105,4/17/2023,5/3/2023,16,8,8,Delivered,Paid,5/3/2023,Palm Oil
104,4/30/2023,5/18/2023,18,57,57,Delivered,Paid,5/18/2023,Tomatoes
108,4/12/2023,4/18/2023,6,75,75,Delivered,Paid,4/18/2023,Fruits
105,4/2/2023,4/11/2023,9,44,44,Delivered,Paid,4/11/2023,Proteins
107,6/9/2023,7/8/2023,29,72,72,Delivered,Paid,7/8/2023,Dairy
101,11/5/2023,12/2/2023,27,82,82,Delivered,Paid,12/2/2023,Palm Oil
107,12/23/2023,12/27/2023,4,73,73,Delivered,Paid,12/27/2023,Vegetables
107,9/12/2023,9/20/2023,8,56,56,Delivered,Paid,9/20/2023,Proteins
107,8/5/2023,8/29/2023,24,73,73,Delivered,Paid,8/29/2023,Tomatoes
104,9/1/2023,9/10/2023,9,58,58,Delivered,Paid,9/10/2023,Vegetables
105,11/30/2023,12/19/2023,19,8,8,Delivered,Paid,12/19/2023,Palm Oil
108,5/26/2023,6/11/2023,16,17,17,Delivered,Paid,6/11/2023,Tomatoes
102,10/2/2023,11/1/2023,30,72,72,Delivered,Paid,11/1/2023,Proteins
102,7/7/2023,7/16/2023,9,36,36,Delivered,Paid,7/16/2023,Palm Oil
108,9/16/2023,10/13/2023,27,13,13,Delivered,Paid,10/13/2023,Fruits
108,3/13/2023,3/28/2023,15,37,37,Delivered,Paid,3/28/2023,Palm Oil
102,2/20/2023,2/22/2023,2,8,8,Delivered,Paid,2/22/2023,Palm Oil
103,3/5/2023,4/3/2023,29,50,50,Delivered,Paid,4/3/2023,Proteins
101,4/6/2023,4/29/2023,23,100,100,Delivered,Paid,4/29/2023,Palm Oil
101,9/7/2023,9/19/2023,12,52,52,Delivered,Paid,9/19/2023,Palm Oil
105,2/9/2023,3/11/2023,30,55,55,Delivered,Paid,3/11/2023,Proteins
104,9/3/2023,9/10/2023,7,26,26,Delivered,Paid,9/10/2023,Proteins
102,2/8/2023,2/14/2023,6,89,89,Delivered,Paid,2/14/2023,Tomatoes
102,6/7/2023,6/8/2023,1,40,40,Delivered,Paid,6/8/2023,Proteins
105,10/25/2023,11/18/2023,24,8,8,Delivered,Paid,11/18/2023,Proteins
105,12/9/2023,12/25/2023,16,25,25,Delivered,Paid,12/25/2023,Tomatoes
106,6/6/2023,6/21/2023,15,6,6,Delivered,Paid,6/21/2023,Vegetables
106,9/28/2023,10/27/2023,29,10,10,Delivered,Paid,10/27/2023,Fruits
107,1/20/2023,2/19/2023,30,96,96,Delivered,Paid,2/19/2023,Palm Oil
102,4/12/2023,4/14/2023,2,67,67,Delivered,Paid,4/14/2023,Dairy
106,2/9/2023,2/21/2023,12,95,95,Delivered,Paid,2/21/2023,Proteins
107,6/7/2023,6/21/2023,14,22,22,Delivered,Paid,6/21/2023,Vegetables
103,7/15/2023,7/28/2023,13,37,37,Delivered,Paid,7/28/2023,Tomatoes
102,8/21/2023,9/4/2023,14,71,71,Delivered,Paid,9/4/2023,Fruits
109,1/2/2023,1/4/2023,2,43,43,Delivered,Paid,1/4/2023,Vegetables
108,11/9/2023,11/11/2023,2,15,15,Delivered,Paid,11/11/2023,Vegetables
108,11/6/2023,12/5/2023,29,88,88,Delivered,Paid,12/5/2023,Proteins
108,2/23/2023,3/20/2023,25,96,96,Delivered,Paid,3/20/2023,Proteins
110,8/27/2023,9/25/2023,29,83,83,Delivered,Paid,9/25/2023,Palm Oil
109,1/29/2023,2/7/2023,9,62,62,Delivered,Paid,2/7/2023,Dairy
105,11/4/2023,11/12/2023,8,72,72,Delivered,Paid,11/12/2023,Proteins
104,2/20/2023,3/15/2023,23,17,17,Delivered,Paid,3/15/2023,Dairy
106,10/6/2023,10/13/2023,7,85,85,Delivered,Paid,10/13/2023,Dairy
106,7/13/2023,7/27/2023,14,3,3,Delivered,Paid,7/27/2023,Fruits
107,6/11/2023,7/2/2023,21,89,89,Delivered,Paid,7/2/2023,Palm Oil
109,2/18/2023,3/17/2023,27,18,18,Delivered,Paid,3/17/2023,Proteins
108,10/19/2023,11/16/2023,28,60,0,Cancelled,Cancelled,Cancelled ,Tomatoes
105,11/26/2023,12/16/2023,20,57,57,Delivered,Paid,12/16/2023,Dairy
102,12/27/2023,1/17/2024,21,63,63,Delivered,Paid,1/17/2024,Proteins
107,4/25/2023,5/20/2023,25,61,61,Delivered,Paid,5/20/2023,Dairy
104,11/30/2023,12/30/2023,30,50,50,Delivered,Paid,12/30/2023,Vegetables
106,9/22/2023,10/7/2023,15,31,31,Delivered,Paid,10/7/2023,Tomatoes
103,2/2/2023,2/23/2023,21,2,2,Delivered,Paid,2/23/2023,Proteins
102,3/4/2023,3/30/2023,26,63,63,Delivered,Paid,3/30/2023,Dairy
105,5/28/2023,6/8/2023,11,32,32,Delivered,Paid,6/8/2023,Tomatoes
102,6/8/2023,7/2/2023,24,66,66,Delivered,Paid,7/2/2023,Tomatoes
108,8/30/2023,9/18/2023,19,92,92,Delivered,Paid,9/18/2023,Dairy
104,12/4/2023,12/25/2023,21,28,28,Delivered,Paid,12/25/2023,Proteins
102,5/5/2023,6/3/2023,29,37,37,Delivered,Paid,6/3/2023,Proteins
107,8/27/2023,9/6/2023,10,53,53,Delivered,Paid,9/6/2023,Tomatoes
106,12/25/2023,12/31/2023,6,69,69,Delivered,Paid,12/31/2023,Proteins
103,12/25/2023,1/2/2024,8,59,59,Delivered,Paid,1/2/2024,Palm Oil
109,8/5/2023,8/27/2023,22,33,33,Delivered,Paid,8/27/2023,Vegetables
108,3/23/2023,4/12/2023,20,66,66,Delivered,Paid,4/12/2023,Vegetables
102,12/26/2023,1/3/2024,8,55,55,Delivered,Paid,1/3/2024,Palm Oil
110,1/20/2023,2/12/2023,23,75,75,Delivered,Paid,2/12/2023,Tomatoes
101,3/4/2023,3/15/2023,11,6,6,Delivered,Paid,3/15/2023,Vegetables
108,12/29/2023,1/8/2024,10,37,37,Delivered,Paid,1/8/2024,Palm Oil
106,1/29/2023,2/18/2023,20,30,30,Delivered,Paid,2/18/2023,Dairy
101,11/27/2023,12/11/2023,14,60,60,Delivered,Paid,12/11/2023,Proteins
102,9/1/2023,9/7/2023,6,16,16,Delivered,Paid,9/7/2023,Palm Oil
108,5/9/2023,5/27/2023,18,45,45,Delivered,Paid,5/27/2023,Fruits
110,3/1/2023,3/4/2023,3,25,25,Delivered,Paid,3/4/2023,Proteins
102,8/5/2023,8/17/2023,12,46,46,Delivered,Paid,8/17/2023,Palm Oil
110,5/9/2023,5/29/2023,20,50,50,Delivered,Paid,5/29/2023,Proteins
101,2/7/2023,3/6/2023,27,92,92,Delivered,Paid,3/6/2023,Dairy
106,11/21/2023,11/25/2023,4,32,32,Delivered,Paid,11/25/2023,Dairy
101,5/2/2023,5/25/2023,23,1,1,Delivered,Paid,5/25/2023,Tomatoes
103,11/14/2023,11/19/2023,5,60,60,Delivered,Paid,11/19/2023,Vegetables
105,3/25/2023,3/30/2023,5,99,99,Delivered,Paid,3/30/2023,Palm Oil
107,9/5/2023,10/3/2023,28,9,9,Delivered,Paid,10/3/2023,Palm Oil
107,11/13/2023,12/6/2023,23,42,42,Delivered,Paid,12/6/2023,Palm Oil
107,4/1/2023,4/7/2023,6,42,42,Delivered,Paid,4/7/2023,Dairy
108,12/12/2023,12/27/2023,15,74,74,Delivered,Paid,12/27/2023,Dairy
110,1/12/2023,2/5/2023,24,65,65,Delivered,Paid,2/5/2023,Dairy
102,3/9/2023,3/14/2023,5,68,68,Delivered,Paid,3/14/2023,Tomatoes
109,10/31/2023,11/18/2023,18,86,86,Delivered,Paid,11/18/2023,Dairy
108,8/24/2023,8/26/2023,2,63,63,Delivered,Paid,8/26/2023,Dairy
108,6/23/2023,7/13/2023,20,58,58,Delivered,Paid,7/13/2023,Dairy
102,3/28/2023,4/4/2023,7,5,5,Delivered,Paid,4/4/2023,Proteins
105,8/15/2023,9/4/2023,20,93,93,Delivered,Paid,9/4/2023,Tomatoes
104,9/6/2023,9/30/2023,24,65,65,Delivered,Paid,9/30/2023,Proteins
104,8/26/2023,9/20/2023,25,79,79,Delivered,Paid,9/20/2023,Vegetables
104,8/20/2023,8/29/2023,9,17,17,Delivered,Paid,8/29/2023,Dairy
109,5/4/2023,5/31/2023,27,81,81,Delivered,Paid,5/31/2023,Dairy
105,12/10/2023,12/22/2023,12,29,29,Delivered,Paid,12/22/2023,Dairy
107,1/19/2023,1/24/2023,5,31,31,Delivered,Paid,1/24/2023,Dairy
106,3/5/2023,3/26/2023,21,41,41,Delivered,Paid,3/26/2023,Palm Oil
106,5/23/2023,5/29/2023,6,88,88,Delivered,Paid,5/29/2023,Proteins
102,1/11/2023,1/14/2023,3,24,24,Delivered,Paid,1/14/2023,Tomatoes
105,5/19/2023,6/16/2023,28,54,54,Delivered,Paid,6/16/2023,Dairy
105,9/4/2023,9/8/2023,4,38,38,Delivered,Paid,9/8/2023,Vegetables
107,3/20/2023,4/12/2023,23,95,95,Delivered,Paid,4/12/2023,Tomatoes
104,11/27/2023,11/30/2023,3,5,5,Delivered,Paid,11/30/2023,Vegetables
106,12/26/2023,1/14/2024,19,94,94,Delivered,Paid,1/14/2024,Dairy
109,10/13/2023,11/9/2023,27,20,20,Delivered,Paid,11/9/2023,Dairy
102,7/12/2023,7/31/2023,19,66,66,Delivered,Paid,7/31/2023,Fruits
101,12/18/2023,12/27/2023,9,29,29,Delivered,Paid,12/27/2023,Proteins
103,10/18/2023,10/23/2023,5,51,51,Delivered,Paid,10/23/2023,Proteins
106,12/9/2023,1/1/2024,23,51,51,Delivered,Paid,1/1/2024,Proteins
109,4/12/2023,4/23/2023,11,29,29,Delivered,Paid,4/23/2023,Vegetables
104,12/17/2023,12/19/2023,2,44,44,Delivered,Paid,12/19/2023,Tomatoes
109,6/29/2023,7/23/2023,24,57,57,Delivered,Paid,7/23/2023,Tomatoes
103,2/20/2023,2/22/2023,2,26,26,Delivered,Paid,2/22/2023,Proteins
108,6/12/2023,7/4/2023,22,4,4,Delivered,Paid,7/4/2023,Dairy
102,9/25/2023,10/15/2023,20,34,34,Delivered,Paid,10/15/2023,Tomatoes
105,6/1/2023,6/24/2023,23,78,78,Delivered,Paid,6/24/2023,Proteins
